code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
38,Isère,Circuit des Gardes,circuit-des-gardes,Saint-Martin-d'Uriage,,modere,T2,420,13,4h39,,,,,45.1403611,5.8729647499999995
38,Isère,Circuit des Cinq Cabanes,circuit-des-cinq-cabanes,Saint-Martin-d'Uriage,,modere,T2,650,16.8,6h22,,,,,45.1397021,5.87559995
38,Isère,Circuit des Vignasses,circuit-des-vignasses,Saint-Martin-d'Uriage,,facile,T1,300,4.1,2h01,,,,,45.155048550000004,5.833481
38,Isère,Circuit des Écoliers,circuit-des-ecoliers,Saint-Martin-d'Uriage,,facile,T1,250,6,2h20,,,,,45.16989865,5.86150625
38,Isère,Circuit du Bit,circuit-du-bit,Saint-Martin-d'Uriage,,modere,T2,500,9,3h55,,,,,45.1396697,5.84055865
39,Jura,Les Arcets,les-arcets,Prémanon,,modere,T2,348,9,3h25,,,,,46.47082805,6.0256812
39,Jura,Sentier des Diots,sentier-des-diots,Septmoncel les Molunes,,modere,T2,350,11,3h55,,,,,46.3810161,5.9188448000000005
39,Jura,Les Essarts,les-essarts,Vaudrey,,facile,T1,82,7,2h01,,,,,46.9674136,5.6292761
39,Jura,Sentier de la Vigne,sentier-de-la-vigne,Pagney,,modere,T2,~350,10,3h40,,,,,47.23592905,5.69491905
39,Jura,Sentier du Guêpier,sentier-du-guepier,Étrepigney,,facile,T1,~190,9.5,3h,,,,,47.1196511,5.664346699999999
39,Jura,Le Circuit des 19 étangs,le-circuit-des-19-etangs,Champrougier,,modere,T2,~500,25,7h55,,,,,46.881497949999996,5.51100835
39,Jura,La Chaux Sèche,la-chaux-seche,Bois-d'Amont,,facile,T1,~210,10.5,3h20,,,,,46.5505815,6.12946965
42,Loire,Jas - Pierre sur Autre,jas---pierre-sur-autre,Jas,,facile,T1,228,9,3h01,,,,,45.7447541,4.3174163
42,Loire,Pilat N°23 : circuit « des barrages »,pilat-n23--circuit--des-barrages-,Tarentaise,,modere,T2,525,25,8h,,,,,45.37111055,4.4682236
